name,total,code
"Korea, Republic Of",10,KOR
United States,74,USA
China,8,CHN
Thailand,3,THA
India,1,IND
France,6,FRA
Italy,5,ITA
Philippines,4,PHL
Mexico,1,MEX
Taiwan,1,TWN
