id,name,type,nutrition,value,unit,url,value_level
757,Green Tea Madeleines,dessert,Protein,1,g,https://www.justonecookbook.com/wp-content/uploads/2015/03/Green-Tea-Madeleine-400x400.jpg,-2.3025850929940455
758,Green Tea Madeleines,dessert,Sodium,36,mg,https://www.justonecookbook.com/wp-content/uploads/2015/03/Green-Tea-Madeleine-400x400.jpg,-2.4079456086518722
759,Green Tea Madeleines,dessert,Potassium,13,mg,https://www.justonecookbook.com/wp-content/uploads/2015/03/Green-Tea-Madeleine-400x400.jpg,-3.986130977581868
760,Green Tea Madeleines,dessert,Calcium,15,mg,https://www.justonecookbook.com/wp-content/uploads/2015/03/Green-Tea-Madeleine-400x400.jpg,-2.5902671654458267
761,Green Tea Mochi,dessert,Calories,164,kcal,https://www.justonecookbook.com/wp-content/uploads/2019/07/Green-Tea-Mochi-9189-I-500x500.jpg,-0.8915981192837836
762,Green Tea Mochi,dessert,Protein,3,g,https://www.justonecookbook.com/wp-content/uploads/2019/07/Green-Tea-Mochi-9189-I-500x500.jpg,-1.2039728043259361
763,Green Tea Mochi,dessert,Sodium,42,mg,https://www.justonecookbook.com/wp-content/uploads/2019/07/Green-Tea-Mochi-9189-I-500x500.jpg,-2.2537949288246137
764,Green Tea Mochi,dessert,Potassium,112,mg,https://www.justonecookbook.com/wp-content/uploads/2019/07/Green-Tea-Mochi-9189-I-500x500.jpg,-1.8325814637483102
765,Green Tea Mochi,dessert,Calcium,10,mg,https://www.justonecookbook.com/wp-content/uploads/2019/07/Green-Tea-Mochi-9189-I-500x500.jpg,-2.995732273553991
766,Green Tea Pudding,dessert,Calories,146,kcal,https://www.justonecookbook.com/wp-content/uploads/2015/12/Green-Tea-Pudding-400x400.jpg,-1.0078579253996456
767,Green Tea Pudding,dessert,Protein,7,g,https://www.justonecookbook.com/wp-content/uploads/2015/12/Green-Tea-Pudding-400x400.jpg,-0.35667494393873245
768,Green Tea Pudding,dessert,Sodium,47,mg,https://www.justonecookbook.com/wp-content/uploads/2015/12/Green-Tea-Pudding-400x400.jpg,-2.1413169453979233
769,Green Tea Pudding,dessert,Potassium,157,mg,https://www.justonecookbook.com/wp-content/uploads/2015/12/Green-Tea-Pudding-400x400.jpg,-1.4948345296950967
770,Green Tea Pudding,dessert,Calcium,85,mg,https://www.justonecookbook.com/wp-content/uploads/2015/12/Green-Tea-Pudding-400x400.jpg,-0.8556661100577202
771,Green Tea souffle,dessert,Calories,296,kcal,https://www.justonecookbook.com/wp-content/uploads/2014/05/Green-Tea-Souffle-400x400.jpg,-0.3011050927839216
772,Green Tea souffle,dessert,Protein,9,g,https://www.justonecookbook.com/wp-content/uploads/2014/05/Green-Tea-Souffle-400x400.jpg,-0.10536051565782628
773,Green Tea souffle,dessert,Sodium,73,mg,https://www.justonecookbook.com/wp-content/uploads/2014/05/Green-Tea-Souffle-400x400.jpg,-1.701005105959591
774,Green Tea souffle,dessert,Potassium,129,mg,https://www.justonecookbook.com/wp-content/uploads/2014/05/Green-Tea-Souffle-400x400.jpg,-1.6912679306817326
775,Green Tea souffle,dessert,Calcium,78,mg,https://www.justonecookbook.com/wp-content/uploads/2014/05/Green-Tea-Souffle-400x400.jpg,-0.941608539858445
776,Matcha Green Tea Cookies,dessert,Calories,126,kcal,https://www.justonecookbook.com/wp-content/uploads/2021/01/Green-Tea-Cookies-3651-I-500x500.jpg,-1.155182640156504
777,Matcha Green Tea Cookies,dessert,Protein,2,g,https://www.justonecookbook.com/wp-content/uploads/2021/01/Green-Tea-Cookies-3651-I-500x500.jpg,-1.6094379124341003
778,Matcha Green Tea Cookies,dessert,Sodium,4,mg,https://www.justonecookbook.com/wp-content/uploads/2021/01/Green-Tea-Cookies-3651-I-500x500.jpg,-4.605170185988091
779,Matcha Green Tea Cookies,dessert,Potassium,20,mg,https://www.justonecookbook.com/wp-content/uploads/2021/01/Green-Tea-Cookies-3651-I-500x500.jpg,-3.5553480614894135
780,Matcha Green Tea Cookies,dessert,Calcium,9,mg,https://www.justonecookbook.com/wp-content/uploads/2021/01/Green-Tea-Cookies-3651-I-500x500.jpg,-3.101092789211817
781,Hanami Dango,dessert,Calories,195,kcal,https://www.justonecookbook.com/wp-content/uploads/2017/03/Hanami-Dango-400x400.jpg,-0.7184649885442352
782,Hanami Dango,dessert,Protein,2,g,https://www.justonecookbook.com/wp-content/uploads/2017/03/Hanami-Dango-400x400.jpg,-1.6094379124341003
783,Hanami Dango,dessert,Sodium,1,mg,https://www.justonecookbook.com/wp-content/uploads/2017/03/Hanami-Dango-400x400.jpg,-5.991464547107982
784,Hanami Dango,dessert,Potassium,36,mg,https://www.justonecookbook.com/wp-content/uploads/2017/03/Hanami-Dango-400x400.jpg,-2.967561396587295
785,Hanami Dango,dessert,Calcium,9,mg,https://www.justonecookbook.com/wp-content/uploads/2017/03/Hanami-Dango-400x400.jpg,-3.101092789211817
786,How To Make Kanten Jelly,dessert,Calories,16,kcal,https://www.justonecookbook.com/wp-content/uploads/2014/03/How-To-Make-Agar-Agar-Jelly-400x400.jpg,-3.2188758248682006
787,How To Make Kanten Jelly,dessert,Protein,1,g,https://www.justonecookbook.com/wp-content/uploads/2014/03/How-To-Make-Agar-Agar-Jelly-400x400.jpg,-2.3025850929940455
788,How To Make Kanten Jelly,dessert,Sodium,1,mg,https://www.justonecookbook.com/wp-content/uploads/2014/03/How-To-Make-Agar-Agar-Jelly-400x400.jpg,-5.991464547107982
789,How To Make Kanten Jelly,dessert,Potassium,1,mg,https://www.justonecookbook.com/wp-content/uploads/2014/03/How-To-Make-Agar-Agar-Jelly-400x400.jpg,-6.551080335043404
790,How To Make Kanten Jelly,dessert,Calcium,11,mg,https://www.justonecookbook.com/wp-content/uploads/2014/03/How-To-Make-Agar-Agar-Jelly-400x400.jpg,-2.900422093749666
791,Sweet Red Bean Paste (Tsubuan and Koshian),dessert,Calories,45,kcal,https://www.justonecookbook.com/wp-content/uploads/2020/03/How-to-Make-Anko-0498-I-1-500x500.jpg,-2.184802057337662
792,Sweet Red Bean Paste (Tsubuan and Koshian),dessert,Protein,1,g,https://www.justonecookbook.com/wp-content/uploads/2020/03/How-to-Make-Anko-0498-I-1-500x500.jpg,-2.3025850929940455
793,Sweet Red Bean Paste (Tsubuan and Koshian),dessert,Sodium,19,mg,https://www.justonecookbook.com/wp-content/uploads/2020/03/How-to-Make-Anko-0498-I-1-500x500.jpg,-3.0470255679415414
794,Sweet Red Bean Paste (Tsubuan and Koshian),dessert,Potassium,84,mg,https://www.justonecookbook.com/wp-content/uploads/2020/03/How-to-Make-Anko-0498-I-1-500x500.jpg,-2.120263536200091
795,Sweet Red Bean Paste (Tsubuan and Koshian),dessert,Calcium,4,mg,https://www.justonecookbook.com/wp-content/uploads/2020/03/How-to-Make-Anko-0498-I-1-500x500.jpg,-3.912023005428146
796,Imagawayaki (Obanyaki),dessert,Calories,279,kcal,https://www.justonecookbook.com/wp-content/uploads/2017/08/Imagawayaki-w600-400x400.jpg,-0.36025276528661637
797,Imagawayaki (Obanyaki),dessert,Protein,8,g,https://www.justonecookbook.com/wp-content/uploads/2017/08/Imagawayaki-w600-400x400.jpg,-0.2231435513142097
798,Imagawayaki (Obanyaki),dessert,Sodium,178,mg,https://www.justonecookbook.com/wp-content/uploads/2017/08/Imagawayaki-w600-400x400.jpg,-0.8096809968158968
799,Imagawayaki (Obanyaki),dessert,Potassium,268,mg,https://www.justonecookbook.com/wp-content/uploads/2017/08/Imagawayaki-w600-400x400.jpg,-0.9600933545325481
800,Imagawayaki (Obanyaki),dessert,Calcium,119,mg,https://www.justonecookbook.com/wp-content/uploads/2017/08/Imagawayaki-w600-400x400.jpg,-0.5191938734365074
801,Instant Pot Kabocha Flan,dessert,Calories,295,kcal,https://www.justonecookbook.com/wp-content/uploads/2019/03/Instant-Pot-Kabocha-Flan-I-1-500x500.jpg,-0.3044891907681621
802,Instant Pot Kabocha Flan,dessert,Protein,7,g,https://www.justonecookbook.com/wp-content/uploads/2019/03/Instant-Pot-Kabocha-Flan-I-1-500x500.jpg,-0.35667494393873245
803,Instant Pot Kabocha Flan,dessert,Sodium,82,mg,https://www.justonecookbook.com/wp-content/uploads/2019/03/Instant-Pot-Kabocha-Flan-I-1-500x500.jpg,-1.584745299843729
804,Instant Pot Kabocha Flan,dessert,Potassium,488,mg,https://www.justonecookbook.com/wp-content/uploads/2019/03/Instant-Pot-Kabocha-Flan-I-1-500x500.jpg,-0.36076492919025743
805,Instant Pot Kabocha Flan,dessert,Calcium,106,mg,https://www.justonecookbook.com/wp-content/uploads/2019/03/Instant-Pot-Kabocha-Flan-I-1-500x500.jpg,-0.6348782724359695
806,Japanese Strawberry Shortcake,dessert,Calories,3618,kcal,https://www.justonecookbook.com/wp-content/uploads/2020/02/Japanese-Strawberry-Shortcake-0448-I-1-500x500.jpg,2.2022121188472585
807,Japanese Strawberry Shortcake,dessert,Protein,54,g,https://www.justonecookbook.com/wp-content/uploads/2020/02/Japanese-Strawberry-Shortcake-0448-I-1-500x500.jpg,1.6863989535702288
808,Japanese Strawberry Shortcake,dessert,Sodium,493,mg,https://www.justonecookbook.com/wp-content/uploads/2020/02/Japanese-Strawberry-Shortcake-0448-I-1-500x500.jpg,0.20904462693470807
809,Japanese Strawberry Shortcake,dessert,Potassium,1528,mg,https://www.justonecookbook.com/wp-content/uploads/2020/02/Japanese-Strawberry-Shortcake-0448-I-1-500x500.jpg,0.7806346346830612
810,Japanese Strawberry Shortcake,dessert,Calcium,570,mg,https://www.justonecookbook.com/wp-content/uploads/2020/02/Japanese-Strawberry-Shortcake-0448-I-1-500x500.jpg,1.0473189942805592
811,Japanese Sweet Potato (Dessert),dessert,Calories,260,kcal,https://www.justonecookbook.com/wp-content/uploads/2018/10/Japanese-Sweet-Potato-w600-400x400.jpg,-0.4307829160924542
812,Japanese Sweet Potato (Dessert),dessert,Protein,4,g,https://www.justonecookbook.com/wp-content/uploads/2018/10/Japanese-Sweet-Potato-w600-400x400.jpg,-0.916290731874155
813,Japanese Sweet Potato (Dessert),dessert,Sodium,84,mg,https://www.justonecookbook.com/wp-content/uploads/2018/10/Japanese-Sweet-Potato-w600-400x400.jpg,-1.5606477482646683
814,Japanese Sweet Potato (Dessert),dessert,Potassium,479,mg,https://www.justonecookbook.com/wp-content/uploads/2018/10/Japanese-Sweet-Potato-w600-400x400.jpg,-0.37937973763248944
815,Japanese Sweet Potato (Dessert),dessert,Calcium,63,mg,https://www.justonecookbook.com/wp-content/uploads/2018/10/Japanese-Sweet-Potato-w600-400x400.jpg,-1.155182640156504
816,Kabocha Pie,dessert,Calories,3005,kcal,https://www.justonecookbook.com/wp-content/uploads/2019/11/Kabocha-Squash-Pie-3481-I-1-500x500.jpg,2.016568299861326
817,Kabocha Pie,dessert,Protein,43,g,https://www.justonecookbook.com/wp-content/uploads/2019/11/Kabocha-Squash-Pie-3481-I-1-500x500.jpg,1.4586150226995167
818,Kabocha Pie,dessert,Sodium,1600,mg,https://www.justonecookbook.com/wp-content/uploads/2019/11/Kabocha-Squash-Pie-3481-I-1-500x500.jpg,1.3862943611198906
819,Kabocha Pie,dessert,Potassium,4638,mg,https://www.justonecookbook.com/wp-content/uploads/2019/11/Kabocha-Squash-Pie-3481-I-1-500x500.jpg,1.8909581827720723
820,Kabocha Pie,dessert,Calcium,711,mg,https://www.justonecookbook.com/wp-content/uploads/2019/11/Kabocha-Squash-Pie-3481-I-1-500x500.jpg,1.2683550632552043
821,Kashiwa Mochi,dessert,Calories,133,kcal,https://www.justonecookbook.com/wp-content/uploads/2020/04/Kashiwa-Mochi-4348-I-500x500.jpg,-1.1011154188862282
822,Kashiwa Mochi,dessert,Protein,2,g,https://www.justonecookbook.com/wp-content/uploads/2020/04/Kashiwa-Mochi-4348-I-500x500.jpg,-1.6094379124341003
823,Kashiwa Mochi,dessert,Sodium,20,mg,https://www.justonecookbook.com/wp-content/uploads/2020/04/Kashiwa-Mochi-4348-I-500x500.jpg,-2.995732273553991
824,Kashiwa Mochi,dessert,Potassium,115,mg,https://www.justonecookbook.com/wp-content/uploads/2020/04/Kashiwa-Mochi-4348-I-500x500.jpg,-1.8061482066801546
825,Kashiwa Mochi,dessert,Calcium,10,mg,https://www.justonecookbook.com/wp-content/uploads/2020/04/Kashiwa-Mochi-4348-I-500x500.jpg,-2.995732273553991
826,Lavender Madeleines,dessert,Calories,133,kcal,https://www.justonecookbook.com/wp-content/uploads/2012/03/Lavender-Madeleines-400x400.jpg,-1.1011154188862282
827,Lavender Madeleines,dessert,Protein,2,g,https://www.justonecookbook.com/wp-content/uploads/2012/03/Lavender-Madeleines-400x400.jpg,-1.6094379124341003
828,Lavender Madeleines,dessert,Sodium,54,mg,https://www.justonecookbook.com/wp-content/uploads/2012/03/Lavender-Madeleines-400x400.jpg,-2.0024805005437076
829,Lavender Madeleines,dessert,Potassium,23,mg,https://www.justonecookbook.com/wp-content/uploads/2012/03/Lavender-Madeleines-400x400.jpg,-3.415586119114255
830,Lavender Madeleines,dessert,Calcium,21,mg,https://www.justonecookbook.com/wp-content/uploads/2012/03/Lavender-Madeleines-400x400.jpg,-2.2537949288246137
831,Lychee Coconut Sorbet,dessert,Calories,144,kcal,https://www.justonecookbook.com/wp-content/uploads/2011/07/Lychee-Coconut-Sorbet-NEW-w600-400x400.jpg,-1.0216512475319814
832,Lychee Coconut Sorbet,dessert,Protein,2,g,https://www.justonecookbook.com/wp-content/uploads/2011/07/Lychee-Coconut-Sorbet-NEW-w600-400x400.jpg,-1.6094379124341003
833,Lychee Coconut Sorbet,dessert,Sodium,12,mg,https://www.justonecookbook.com/wp-content/uploads/2011/07/Lychee-Coconut-Sorbet-NEW-w600-400x400.jpg,-3.506557897319982
834,Lychee Coconut Sorbet,dessert,Potassium,338,mg,https://www.justonecookbook.com/wp-content/uploads/2011/07/Lychee-Coconut-Sorbet-NEW-w600-400x400.jpg,-0.7280344395603858
835,Lychee Coconut Sorbet,dessert,Calcium,10,mg,https://www.justonecookbook.com/wp-content/uploads/2011/07/Lychee-Coconut-Sorbet-NEW-w600-400x400.jpg,-2.995732273553991
836,Mango Ice Cream,dessert,Calories,287,kcal,https://www.justonecookbook.com/wp-content/uploads/2011/07/Mango-Ice-Cream-e1309333543589-400x400.jpg,-0.33198233134836086
837,Mango Ice Cream,dessert,Protein,2,g,https://www.justonecookbook.com/wp-content/uploads/2011/07/Mango-Ice-Cream-e1309333543589-400x400.jpg,-1.6094379124341003
838,Mango Ice Cream,dessert,Sodium,29,mg,https://www.justonecookbook.com/wp-content/uploads/2011/07/Mango-Ice-Cream-e1309333543589-400x400.jpg,-2.624168717121508
839,Mango Ice Cream,dessert,Potassium,173,mg,https://www.justonecookbook.com/wp-content/uploads/2011/07/Mango-Ice-Cream-e1309333543589-400x400.jpg,-1.3977887405456257
840,Mango Ice Cream,dessert,Calcium,67,mg,https://www.justonecookbook.com/wp-content/uploads/2011/07/Mango-Ice-Cream-e1309333543589-400x400.jpg,-1.0936247471570706
841,Mango Lassi Popsicles,dessert,Calories,141,kcal,https://www.justonecookbook.com/wp-content/uploads/2013/08/Mango-Lassi-Popsicles-400x400.jpg,-1.0427046567298137
842,Mango Lassi Popsicles,dessert,Protein,3,g,https://www.justonecookbook.com/wp-content/uploads/2013/08/Mango-Lassi-Popsicles-400x400.jpg,-1.2039728043259361
843,Mango Lassi Popsicles,dessert,Sodium,30,mg,https://www.justonecookbook.com/wp-content/uploads/2013/08/Mango-Lassi-Popsicles-400x400.jpg,-2.5902671654458267
844,Mango Lassi Popsicles,dessert,Potassium,132,mg,https://www.justonecookbook.com/wp-content/uploads/2013/08/Mango-Lassi-Popsicles-400x400.jpg,-1.6682784124570338
845,Mango Lassi Popsicles,dessert,Calcium,34,mg,https://www.justonecookbook.com/wp-content/uploads/2013/08/Mango-Lassi-Popsicles-400x400.jpg,-1.7719568419318752
846,Manju,dessert,Calories,118,kcal,https://www.justonecookbook.com/wp-content/uploads/2017/12/Manju-w600-400x400.jpg,-1.2207799226423173
847,Manju,dessert,Protein,2,g,https://www.justonecookbook.com/wp-content/uploads/2017/12/Manju-w600-400x400.jpg,-1.6094379124341003
848,Manju,dessert,Sodium,39,mg,https://www.justonecookbook.com/wp-content/uploads/2017/12/Manju-w600-400x400.jpg,-2.3279029009783354
849,Manju,dessert,Potassium,107,mg,https://www.justonecookbook.com/wp-content/uploads/2017/12/Manju-w600-400x400.jpg,-1.8782515005814986
850,Manju,dessert,Calcium,24,mg,https://www.justonecookbook.com/wp-content/uploads/2017/12/Manju-w600-400x400.jpg,-2.120263536200091
851,Matcha and White Chocolate Truffles,dessert,Calories,67,kcal,https://www.justonecookbook.com/wp-content/uploads/2011/11/Matcha-and-White-Chocolate-Truffles-400x400.png,-1.7867719277170158
852,Matcha and White Chocolate Truffles,dessert,Protein,1,g,https://www.justonecookbook.com/wp-content/uploads/2011/11/Matcha-and-White-Chocolate-Truffles-400x400.png,-2.3025850929940455
853,Matcha and White Chocolate Truffles,dessert,Sodium,9,mg,https://www.justonecookbook.com/wp-content/uploads/2011/11/Matcha-and-White-Chocolate-Truffles-400x400.png,-3.7942399697717626
854,Matcha and White Chocolate Truffles,dessert,Potassium,36,mg,https://www.justonecookbook.com/wp-content/uploads/2011/11/Matcha-and-White-Chocolate-Truffles-400x400.png,-2.967561396587295
855,Matcha and White Chocolate Truffles,dessert,Calcium,20,mg,https://www.justonecookbook.com/wp-content/uploads/2011/11/Matcha-and-White-Chocolate-Truffles-400x400.png,-2.3025850929940455
856,Matcha Basque Burnt Cheesecake,dessert,Calories,277,kcal,https://www.justonecookbook.com/wp-content/uploads/2020/12/Matcha-Basque-Burnt-Cheesecake-2596-I-1-500x500.jpg,-0.36744704092064345
857,Matcha Basque Burnt Cheesecake,dessert,Protein,5,g,https://www.justonecookbook.com/wp-content/uploads/2020/12/Matcha-Basque-Burnt-Cheesecake-2596-I-1-500x500.jpg,-0.6931471805599453
858,Matcha Basque Burnt Cheesecake,dessert,Sodium,138,mg,https://www.justonecookbook.com/wp-content/uploads/2020/12/Matcha-Basque-Burnt-Cheesecake-2596-I-1-500x500.jpg,-1.0642108619507773
859,Matcha Basque Burnt Cheesecake,dessert,Potassium,81,mg,https://www.justonecookbook.com/wp-content/uploads/2020/12/Matcha-Basque-Burnt-Cheesecake-2596-I-1-500x500.jpg,-2.156631180370966
860,Matcha Basque Burnt Cheesecake,dessert,Calcium,56,mg,https://www.justonecookbook.com/wp-content/uploads/2020/12/Matcha-Basque-Burnt-Cheesecake-2596-I-1-500x500.jpg,-1.2729656758128873
861,Matcha Gateau au Chocolat,dessert,Calories,1577,kcal,https://www.justonecookbook.com/wp-content/uploads/2021/07/Matcha-Gateau-au-Chocolat-9704-VI-500x500.jpg,1.3718150398550564
862,Matcha Gateau au Chocolat,dessert,Protein,52,g,https://www.justonecookbook.com/wp-content/uploads/2021/07/Matcha-Gateau-au-Chocolat-9704-VI-500x500.jpg,1.6486586255873816
863,Matcha Gateau au Chocolat,dessert,Sodium,474,mg,https://www.justonecookbook.com/wp-content/uploads/2021/07/Matcha-Gateau-au-Chocolat-9704-VI-500x500.jpg,0.16974277458709455
864,Matcha Gateau au Chocolat,dessert,Potassium,604,mg,https://www.justonecookbook.com/wp-content/uploads/2021/07/Matcha-Gateau-au-Chocolat-9704-VI-500x500.jpg,-0.1475061371085897
865,Matcha Gateau au Chocolat,dessert,Calcium,364,mg,https://www.justonecookbook.com/wp-content/uploads/2021/07/Matcha-Gateau-au-Chocolat-9704-VI-500x500.jpg,0.598836501088704
866,Matcha Marble Pound Cake,dessert,Calories,2949,kcal,https://www.justonecookbook.com/wp-content/uploads/2019/04/Matcha-Marble-Pound-Cake-I-1-500x500.jpg,1.9977568617072943
867,Matcha Marble Pound Cake,dessert,Protein,75,g,https://www.justonecookbook.com/wp-content/uploads/2019/04/Matcha-Marble-Pound-Cake-I-1-500x500.jpg,2.0149030205422647
868,Matcha Marble Pound Cake,dessert,Sodium,1037,mg,https://www.justonecookbook.com/wp-content/uploads/2019/04/Matcha-Marble-Pound-Cake-I-1-500x500.jpg,0.9526226611215453
869,Matcha Marble Pound Cake,dessert,Potassium,599,mg,https://www.justonecookbook.com/wp-content/uploads/2019/04/Matcha-Marble-Pound-Cake-I-1-500x500.jpg,-0.15581873692795528
870,Matcha Marble Pound Cake,dessert,Calcium,486,mg,https://www.justonecookbook.com/wp-content/uploads/2019/04/Matcha-Marble-Pound-Cake-I-1-500x500.jpg,0.8878912573524571
871,Matcha Mille Crepe Cake,dessert,Calories,2287,kcal,https://www.justonecookbook.com/wp-content/uploads/2019/11/Matcha-Mille-Crepe-Cake-4620-I-1-500x500.jpg,1.7435316469147992
872,Matcha Mille Crepe Cake,dessert,Protein,71,g,https://www.justonecookbook.com/wp-content/uploads/2019/11/Matcha-Mille-Crepe-Cake-4620-I-1-500x500.jpg,1.9600947840472698
873,Matcha Mille Crepe Cake,dessert,Sodium,702,mg,https://www.justonecookbook.com/wp-content/uploads/2019/11/Matcha-Mille-Crepe-Cake-4620-I-1-500x500.jpg,0.5624688569178291
874,Matcha Mille Crepe Cake,dessert,Potassium,1072,mg,https://www.justonecookbook.com/wp-content/uploads/2019/11/Matcha-Mille-Crepe-Cake-4620-I-1-500x500.jpg,0.42620100658734256
875,Matcha Mille Crepe Cake,dessert,Calcium,855,mg,https://www.justonecookbook.com/wp-content/uploads/2019/11/Matcha-Mille-Crepe-Cake-4620-I-1-500x500.jpg,1.4527841023887236
876,Matcha Swiss Roll (Roll Cake),dessert,Calories,1830,kcal,https://www.justonecookbook.com/wp-content/uploads/2021/12/Matcha-Swiss-Roll-5916-I-500x500.jpg,1.5206066987274847
877,Matcha Swiss Roll (Roll Cake),dessert,Protein,60,g,https://www.justonecookbook.com/wp-content/uploads/2021/12/Matcha-Swiss-Roll-5916-I-500x500.jpg,1.791759469228055
878,Matcha Swiss Roll (Roll Cake),dessert,Sodium,580,mg,https://www.justonecookbook.com/wp-content/uploads/2021/12/Matcha-Swiss-Roll-5916-I-500x500.jpg,0.371563556432483
879,Matcha Swiss Roll (Roll Cake),dessert,Potassium,546,mg,https://www.justonecookbook.com/wp-content/uploads/2021/12/Matcha-Swiss-Roll-5916-I-500x500.jpg,-0.2484613592984996
880,Matcha Swiss Roll (Roll Cake),dessert,Calcium,395,mg,https://www.justonecookbook.com/wp-content/uploads/2021/12/Matcha-Swiss-Roll-5916-I-500x500.jpg,0.6805683983530852
881,Matcha Tiramisu,dessert,Calories,3837,kcal,https://www.justonecookbook.com/wp-content/uploads/2019/11/Matcha-Tiramisu-6372-I-2-500x500.jpg,2.2609815431389704
882,Matcha Tiramisu,dessert,Protein,87,g,https://www.justonecookbook.com/wp-content/uploads/2019/11/Matcha-Tiramisu-6372-I-2-500x500.jpg,2.163323025660538
883,Matcha Tiramisu,dessert,Sodium,680,mg,https://www.justonecookbook.com/wp-content/uploads/2019/11/Matcha-Tiramisu-6372-I-2-500x500.jpg,0.5306282510621704
884,Matcha Tiramisu,dessert,Potassium,657,mg,https://www.justonecookbook.com/wp-content/uploads/2019/11/Matcha-Tiramisu-6372-I-2-500x500.jpg,-0.06339631655879412
885,Matcha Tiramisu,dessert,Calcium,767,mg,https://www.justonecookbook.com/wp-content/uploads/2019/11/Matcha-Tiramisu-6372-I-2-500x500.jpg,1.3441694348192195
886,Matcha Vegan Panna Cotta,dessert,Calories,91,kcal,https://www.justonecookbook.com/wp-content/uploads/2018/09/Matcha-Vegan-Panna-Cotta-w600-2-400x400.jpg,-1.480605040591132
887,Matcha Vegan Panna Cotta,dessert,Protein,4,g,https://www.justonecookbook.com/wp-content/uploads/2018/09/Matcha-Vegan-Panna-Cotta-w600-2-400x400.jpg,-0.916290731874155
888,Matcha Vegan Panna Cotta,dessert,Sodium,25,mg,https://www.justonecookbook.com/wp-content/uploads/2018/09/Matcha-Vegan-Panna-Cotta-w600-2-400x400.jpg,-2.772588722239781
889,Matcha Vegan Panna Cotta,dessert,Potassium,70,mg,https://www.justonecookbook.com/wp-content/uploads/2018/09/Matcha-Vegan-Panna-Cotta-w600-2-400x400.jpg,-2.3025850929940455
890,Matcha Vegan Panna Cotta,dessert,Calcium,78,mg,https://www.justonecookbook.com/wp-content/uploads/2018/09/Matcha-Vegan-Panna-Cotta-w600-2-400x400.jpg,-0.941608539858445
891,Matcha Zenzai,dessert,Calories,245,kcal,https://www.justonecookbook.com/wp-content/uploads/2015/06/Matcha-Zenzai-400x400.jpg,-0.4902063365632549
892,Matcha Zenzai,dessert,Protein,8,g,https://www.justonecookbook.com/wp-content/uploads/2015/06/Matcha-Zenzai-400x400.jpg,-0.2231435513142097
893,Matcha Zenzai,dessert,Sodium,58,mg,https://www.justonecookbook.com/wp-content/uploads/2015/06/Matcha-Zenzai-400x400.jpg,-1.9310215365615626
894,Matcha Zenzai,dessert,Potassium,265,mg,https://www.justonecookbook.com/wp-content/uploads/2015/06/Matcha-Zenzai-400x400.jpg,-0.9713505090571825
895,Matcha Zenzai,dessert,Calcium,32,mg,https://www.justonecookbook.com/wp-content/uploads/2015/06/Matcha-Zenzai-400x400.jpg,-1.8325814637483102
896,Meyer Lemon Chiffon Cake,dessert,Calories,1492,kcal,https://www.justonecookbook.com/wp-content/uploads/2020/01/Meyer-Lemon-Chiffon-Cake-2103-I-500x500.jpg,1.3164082336557241
897,Meyer Lemon Chiffon Cake,dessert,Protein,28,g,https://www.justonecookbook.com/wp-content/uploads/2020/01/Meyer-Lemon-Chiffon-Cake-2103-I-500x500.jpg,1.0296194171811581
898,Meyer Lemon Chiffon Cake,dessert,Sodium,642,mg,https://www.justonecookbook.com/wp-content/uploads/2020/01/Meyer-Lemon-Chiffon-Cake-2103-I-500x500.jpg,0.4731237565819792
899,Meyer Lemon Chiffon Cake,dessert,Potassium,381,mg,https://www.justonecookbook.com/wp-content/uploads/2020/01/Meyer-Lemon-Chiffon-Cake-2103-I-500x500.jpg,-0.6082809599167037
900,Meyer Lemon Chiffon Cake,dessert,Calcium,352,mg,https://www.justonecookbook.com/wp-content/uploads/2020/01/Meyer-Lemon-Chiffon-Cake-2103-I-500x500.jpg,0.5653138090500605
901,Meyer Lemon Cookies (Sables),dessert,Calories,101,kcal,https://www.justonecookbook.com/wp-content/uploads/2018/02/Meyer-Lemon-Sables-w600-400x400.jpg,-1.3763440302667225
902,Meyer Lemon Cookies (Sables),dessert,Protein,1,g,https://www.justonecookbook.com/wp-content/uploads/2018/02/Meyer-Lemon-Sables-w600-400x400.jpg,-2.3025850929940455
903,Meyer Lemon Cookies (Sables),dessert,Sodium,1,mg,https://www.justonecookbook.com/wp-content/uploads/2018/02/Meyer-Lemon-Sables-w600-400x400.jpg,-5.991464547107982
904,Meyer Lemon Cookies (Sables),dessert,Potassium,11,mg,https://www.justonecookbook.com/wp-content/uploads/2018/02/Meyer-Lemon-Sables-w600-400x400.jpg,-4.153185062245034
905,Meyer Lemon Cookies (Sables),dessert,Calcium,8,mg,https://www.justonecookbook.com/wp-content/uploads/2018/02/Meyer-Lemon-Sables-w600-400x400.jpg,-3.2188758248682006
906,Meyer Lemon Pound Cake,dessert,Calories,2148,kcal,https://www.justonecookbook.com/wp-content/uploads/2020/01/Meyer-Lemon-Pound-Cake-2677-I-500x500.jpg,1.6808279085207734
907,Meyer Lemon Pound Cake,dessert,Protein,36,g,https://www.justonecookbook.com/wp-content/uploads/2020/01/Meyer-Lemon-Pound-Cake-2677-I-500x500.jpg,1.2809338454620642
908,Meyer Lemon Pound Cake,dessert,Sodium,1087,mg,https://www.justonecookbook.com/wp-content/uploads/2020/01/Meyer-Lemon-Pound-Cake-2677-I-500x500.jpg,0.9997123400132274
