id,name,type,nutrition,value,unit,url,value_level
31,Burrata and Ikura Crostini,appetizer,Calories,335,kcal,https://www.justonecookbook.com/wp-content/uploads/2019/11/Burrata-Crostini-with-Ikura-and-Yuzu-Pepper-4570-I-500x500.jpg,-0.17733401528291554
32,Burrata and Ikura Crostini,appetizer,Protein,18,g,https://www.justonecookbook.com/wp-content/uploads/2019/11/Burrata-Crostini-with-Ikura-and-Yuzu-Pepper-4570-I-500x500.jpg,0.5877866649021191
33,Burrata and Ikura Crostini,appetizer,Sodium,644,mg,https://www.justonecookbook.com/wp-content/uploads/2019/11/Burrata-Crostini-with-Ikura-and-Yuzu-Pepper-4570-I-500x500.jpg,0.4762341789963717
34,Burrata and Ikura Crostini,appetizer,Potassium,101,mg,https://www.justonecookbook.com/wp-content/uploads/2019/11/Burrata-Crostini-with-Ikura-and-Yuzu-Pepper-4570-I-500x500.jpg,-1.9359598182021451
35,Burrata and Ikura Crostini,appetizer,Calcium,362,mg,https://www.justonecookbook.com/wp-content/uploads/2019/11/Burrata-Crostini-with-Ikura-and-Yuzu-Pepper-4570-I-500x500.jpg,0.5933268452777344
36,Butter Soy Sauce Scallops,appetizer,Calories,77,kcal,https://www.justonecookbook.com/wp-content/uploads/2021/07/Butter-Shoyu-Scallops-9380-I-500x500.jpg,-1.647659125254298
37,Butter Soy Sauce Scallops,appetizer,Protein,7,g,https://www.justonecookbook.com/wp-content/uploads/2021/07/Butter-Shoyu-Scallops-9380-I-500x500.jpg,-0.35667494393873245
38,Butter Soy Sauce Scallops,appetizer,Sodium,391,mg,https://www.justonecookbook.com/wp-content/uploads/2021/07/Butter-Shoyu-Scallops-9380-I-500x500.jpg,-0.02275698712261618
39,Butter Soy Sauce Scallops,appetizer,Potassium,118,mg,https://www.justonecookbook.com/wp-content/uploads/2021/07/Butter-Shoyu-Scallops-9380-I-500x500.jpg,-1.78039571057774
40,Butter Soy Sauce Scallops,appetizer,Calcium,5,mg,https://www.justonecookbook.com/wp-content/uploads/2021/07/Butter-Shoyu-Scallops-9380-I-500x500.jpg,-3.6888794541139363
41,Chawanmushi (Savory Steamed Egg Custard),appetizer,Calories,86,kcal,https://www.justonecookbook.com/wp-content/uploads/2011/09/Chawanmushi-III-400x400.jpg,-1.5371172508544744
42,Chawanmushi (Savory Steamed Egg Custard),appetizer,Protein,10,g,https://www.justonecookbook.com/wp-content/uploads/2011/09/Chawanmushi-III-400x400.jpg,0
43,Chawanmushi (Savory Steamed Egg Custard),appetizer,Sodium,426,mg,https://www.justonecookbook.com/wp-content/uploads/2011/09/Chawanmushi-III-400x400.jpg,0.06297479916138839
44,Chawanmushi (Savory Steamed Egg Custard),appetizer,Potassium,206,mg,https://www.justonecookbook.com/wp-content/uploads/2011/09/Chawanmushi-III-400x400.jpg,-1.2232041662538238
45,Chawanmushi (Savory Steamed Egg Custard),appetizer,Calcium,24,mg,https://www.justonecookbook.com/wp-content/uploads/2011/09/Chawanmushi-III-400x400.jpg,-2.120263536200091
46,Chawanmushi with Matsutake Mushroom,appetizer,Calories,60,kcal,https://www.justonecookbook.com/wp-content/uploads/2011/10/Chawanmushi-with-Matsutake-Mushroom-e1318831091543-400x399.jpg,-1.8971199848858813
47,Chawanmushi with Matsutake Mushroom,appetizer,Protein,9,g,https://www.justonecookbook.com/wp-content/uploads/2011/10/Chawanmushi-with-Matsutake-Mushroom-e1318831091543-400x399.jpg,-0.10536051565782628
48,Chawanmushi with Matsutake Mushroom,appetizer,Sodium,381,mg,https://www.justonecookbook.com/wp-content/uploads/2011/10/Chawanmushi-with-Matsutake-Mushroom-e1318831091543-400x399.jpg,-0.04866517198128101
49,Chawanmushi with Matsutake Mushroom,appetizer,Potassium,137,mg,https://www.justonecookbook.com/wp-content/uploads/2011/10/Chawanmushi-with-Matsutake-Mushroom-e1318831091543-400x399.jpg,-1.6310994092152797
50,Chawanmushi with Matsutake Mushroom,appetizer,Calcium,28,mg,https://www.justonecookbook.com/wp-content/uploads/2011/10/Chawanmushi-with-Matsutake-Mushroom-e1318831091543-400x399.jpg,-1.9661128563728327
51,Chawanmushi with Shrimp,appetizer,Calories,102,kcal,https://www.justonecookbook.com/wp-content/uploads/2017/02/Chawanmushi-with-Shrimp-w600-400x400.jpg,-1.3664917338237108
